Tips to remove drowsiness , Description , Links to the website
Get Up and Move Around to Feel Awake , "If you work at a desk, get up frequently for short walks.  The research says that a 10-minute walk increases energy for two hours. That’s because walking pumps oxygen through your veins, brain, and muscles. It will make you feel more alert and refreshed." , https://www.webmd.com/sleep-disorders/features/natural-tips-sleepiness
Give Your Eyes a Break to Avoid Fatigue , Continuous fixation on a computer screen can cause eyestrain and worsen sleepiness and fatigue. Look away from the screen for a few minutes periodically to relax your eyes. , https://www.webmd.com/sleep-disorders/features/natural-tips-sleepiness
Eat a Healthy Snack to Boost Energy , "Sugary snacks give you a quick energy boost followed by the sugar “lows,” when low blood sugar produces mental fogginess and lethargy. Snacks such as peanut butter, fresh fruits,dry fruits and nuts will provide better overall energy in the long run." , https://www.webmd.com/sleep-disorders/features/natural-tips-sleepiness
Start a Conversation to Wake Up Your Mind , "If you’re fading fast, engaging in conversation can get your mind moving again." , https://www.webmd.com/sleep-disorders/features/natural-tips-sleepiness
Turn Up the Lights to Ease Fatigue , Environments with dim lighting aggravate fatigue. Studies have shown that exposure to bright light can reduce sleepiness and increase alertness. Try increasing the intensity of your light source at work. , https://www.webmd.com/sleep-disorders/features/natural-tips-sleepiness
Take a Breather to Feel Alert , "Deep breathing raises blood oxygen levels in the body. This slows your heart rate, lowers blood pressure, and improves circulation, ultimately aiding mental performance and energy." , https://www.webmd.com/sleep-disorders/features/natural-tips-sleepiness
Exercise to Increase Energy and Reduce Fatigue , Researchers found that exercise was more effective in increasing energy and reducing daytime fatigue than some medications used to treat sleep problems. Regular exercise also improves quality of sleep. , https://www.webmd.com/sleep-disorders/features/natural-tips-sleepiness
Get Some Daylight to Regulate Your Sleep Cycles , "Our circadian rhythms, which regulate our sleep-wake cycle, are influenced by daylight. Try to spend at least 30 minutes a day outside in natural sunlight. Even a step outside for a breath of fresh air will revive your senses." , https://www.webmd.com/sleep-disorders/features/natural-tips-sleepiness
Hydrate Yourself by Drinking Water to Prevent Tiredness , Dehydration can cause fatigue. Make sure you drink plenty of fluids and eat foods high in water such as fruits and vegetables , https://www.webmd.com/sleep-disorders/features/natural-tips-sleepiness
Switch Tasks to Stimulate Your Mind , "Finnish researchers who studied people working 12-hour night shifts found that monotonous work is as harmful as sleep loss for alertness. At work or home, try to reserve more stimulating tasks for your sleepy times. Or switch to more engaging work responsibilities when you feel yourself nodding off." , https://www.webmd.com/sleep-disorders/features/natural-tips-sleepiness
Exercise and Be Active , "Taking a break from sedentary activities by exercising or doing other physical activities will help relieve sleepiness. When you go back to work, your thinking will be clearer. And you’ll hopefully feel less drowsy." , https://www.verywellhealth.com/tips-for-staying-awake-3015057
Don't study too long at a stretch , "The optimal period of studying continuously is 2 hours. Every 2-hour period can be broken down again into 25 minutes of studying followed by 5 minutes of break. During this time, get up and stretch or do a short breathing exercise. After every 2 hours, you can take longer breaks of around 20 minutes." , https://www.indiatoday.in/education-today/featurephilia/story/how-to-stop-falling-asleep-while-studying-17-tips-to-keep-you-awake-for-board-exam-preparation-1648066-2020-02-19
Don't get too comfortable while studying , A major cause of falling asleep while studying is getting too comfortable. The main tip for this would be to not study in your bed. Keep your study area and sleeping area separate so that your brain can clearly differentiate between the two. , https://www.indiatoday.in/education-today/featurephilia/story/how-to-stop-falling-asleep-while-studying-17-tips-to-keep-you-awake-for-board-exam-preparation-1648066-2020-02-19
Read aloud and write more , Reading aloud can keep you more engaged than reading in your mind which will help keep you from falling asleep while studying. , https://www.indiatoday.in/education-today/featurephilia/story/how-to-stop-falling-asleep-while-studying-17-tips-to-keep-you-awake-for-board-exam-preparation-1648066-2020-02-19
Put on some music , "You can put on some study music as well that helps balance your brain waves and improve concentration. If you are feeling sleepy while studying, you can change the music to something very upbeat." , https://www.indiatoday.in/education-today/featurephilia/story/how-to-stop-falling-asleep-while-studying-17-tips-to-keep-you-awake-for-board-exam-preparation-1648066-2020-02-19
Wash your face with cool water , "Whenever your eyes feel heavy and you get an itchy feeling, go wash your face with cool water. You can also brush your teeth while you're at it. It will leave you feeling awake and refreshed." , https://www.indiatoday.in/education-today/featurephilia/story/how-to-stop-falling-asleep-while-studying-17-tips-to-keep-you-awake-for-board-exam-preparation-1648066-2020-02-19
Take a Nap to Take the Edge Off Sleepiness , "A small nap during the day may help reset the body and keep it from feeling sleepy. If naps are helpful, try scheduling a nap each day to keep the body in a consistent pattern and help regulate sleep habits" , https://www.medicalnewstoday.com/articles/321674#takeaway
Try acupressure , "A new-age way to keep yourself awake while studying is to use acupressure. When you start feeling too sleepy, use a short break to tap on the 5 central pressure points on the human body: the top of your head, the back of your hands, just below the knees, the top of the back of your neck, and the bottom of your feet." , https://www.indiatoday.in/education-today/featurephilia/story/how-to-stop-falling-asleep-while-studying-17-tips-to-keep-you-awake-for-board-exam-preparation-1648066-2020-02-199